Sensor,Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,Applied PM 2.5 Custom Calibration Setting - Offset,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,Applied PM 10 Custom Calibration Setting - Offset,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,CO2,Applied CO2 Custom Calibration Setting - Multiplication Factor,Applied CO2 Custom Calibration Setting - Offset,CO2 Sensor Error Status,CH2O,Applied CH2O Custom Calibration Setting - Multiplication Factor,Applied CH2O Custom Calibration Setting - Offset,CH2O Sensor Error Status,Barometric Pressure,Applied Barometric Pressure Custom Calibration Setting - Offset,Barometric Sensor Error Status,CO,Applied CO Custom Calibration Setting - Multiplication Factor,Applied CO Custom Calibration Setting - Offset,CO Sensor Error Status,SO2,Applied SO2 Custom Calibration Setting - Multiplication Factor,Applied SO2 Custom Calibration Setting - Offset,SO2 Sensor Error Status,O3,Applied O3 Custom Calibration Setting - Multiplication Factor,Applied O3 Custom Calibration Setting - Offset,O3 Sensor Error Status,NO2,Applied NO2 Custom Calibration Setting - Multiplication Factor,Applied NO2 Custom Calibration Setting - Offset,NO2 Sensor Error Status,VOC tVOC measurement,Applied TVOC Custom Calibration Setting - Multiplication Factor,Applied TVOC Custom Calibration Setting - Offset,VOC Ethanol,VOC Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status
,UTC,UTC-05:00,ug/m3,ug/m3,,,ug/m3,ug/m3,,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,ppm,,,,ppb,,,,inHg,,,ppm,,,,ppb,,,,ppb,,,,ppb,,,,mg/m3,,,ppb,,Fahrenheit,Celsius,%,,,
A02,1/1/2024 0:14,12/31/2023 19:14,0,0,,,0,0,,,4,4,4,4,4,0,811,,,0,,,,,29.66,,0,0,,,0,0,,,0,7,,,0,0,,,0,0.977,,,520,0,66.9,,66,,0,0
A02,1/1/2024 0:29,12/31/2023 19:29,0,0,,,0,0,,,4,4,4,4,4,0,792,,,0,,,,,29.65,,0,0,,,0,0,,,0,6,,,0,0,,,0,0.987,,,525,0,67.1,,65,,0,0
A02,1/1/2024 0:44,12/31/2023 19:44,0,0,,,0,0,,,4,4,4,4,4,0,756,,,0,,,,,29.65,,0,0,,,0,0,,,0,6,,,0,0,,,0,0.957,,,509,0,66.9,,65,,0,0
A02,1/1/2024 0:59,12/31/2023 19:59,0,0,,,0,0,,,4,4,4,4,4,0,716,,,0,,,,,29.66,,0,0,,,0,0,,,0,5,,,0,0,,,0,0.921,,,490,0,66.4,,65,,0,0
A02,1/1/2024 1:14,12/31/2023 20:14,0,0,,,0,0,,,4,4,4,4,4,0,683,,,0,,,,,29.68,,0,0,,,0,0,,,0,7,,,0,0,,,0,0.926,,,492,0,66.2,,65,,0,0
A02,1/1/2024 1:29,12/31/2023 20:29,0,0,,,0,0,,,4,5,5,5,5,0,678,,,0,,,,,29.69,,0,0,,,0,0,,,0,7,,,0,0,,,0,1.083,,,576,0,65.8,,66,,0,0
A02,1/1/2024 1:44,12/31/2023 20:44,0,0,,,0,0,,,5,5,5,5,5,0,669,,,0,,,,,29.69,,0,0,,,0,0,,,0,7,,,0,0,,,0,1.136,,,605,0,65.8,,66,,0,0
A02,1/1/2024 1:59,12/31/2023 20:59,0,0,,,0,0,,,4,5,5,5,5,0,666,,,0,,,,,29.69,,0,0,,,0,0,,,0,7,,,0,0,,,0,1.169,,,622,0,65.5,,66,,0,0
A02,1/1/2024 2:14,12/31/2023 21:14,1,1,,,1,1,,,5,6,6,6,6,0,672,,,0,,,,,29.69,,0,0,,,0,0,,,0,7,,,0,0,,,0,1.216,,,647,0,65.5,,66,,0,0
A02,1/1/2024 2:29,12/31/2023 21:29,1,1,,,1,1,,,10,11,11,11,11,0,741,,,0,,,,,29.69,,0,0,,,0,0,,,0,6,,,0,0,,,0,1.241,,,660,0,65.5,,68,,0,0
A02,1/1/2024 2:44,12/31/2023 21:44,1,1,,,1,1,,,14,16,16,16,16,0,771,,,0,,,,,29.69,,0,0,,,0,0,,,0,10,,,0,0,,,0,1.466,,,780,0,65.3,,69,,0,0
A02,1/1/2024 2:59,12/31/2023 21:59,1,2,,,2,2,,,15,17,17,17,17,0,909,,,0,,,,,29.69,,0,0.2,,,0,0,,,0,20,,,0,0,,,0,1.405,,,747,0,65.3,,69,,0,0
A02,1/1/2024 3:14,12/31/2023 22:14,2,2,,,2,2,,,18,20,20,20,20,0,1304,,,0,,,,,29.69,,0,2.9,,,0,0,,,0,95,,,0,0,,,0,1.742,,,927,0,65.3,,72,,0,0
A02,1/1/2024 3:29,12/31/2023 22:29,2,2,,,2,2,,,16,19,19,19,19,0,1381,,,0,,,,,29.7,,0,2.5,,,0,0,,,0,64,,,0,24,,,0,1.718,,,914,0,65.3,,72,,0,0
A02,1/1/2024 3:44,12/31/2023 22:44,2,2,,,2,2,,,20,22,22,22,22,0,1607,,,0,,,,,29.7,,0,2.4,,,0,0,,,0,70,,,0,40,,,0,2.057,,,1094,0,65.5,,75,,0,0
A02,1/1/2024 3:59,12/31/2023 22:59,2,2,,,2,2,,,19,21,21,21,21,0,1703,,,0,,,,,29.7,,0,3.2,,,0,0,,,0,67,,,0,67,,,0,2.755,,,1466,0,65.7,,76,,0,0
A02,1/1/2024 4:14,12/31/2023 23:14,2,2,,,2,2,,,21,23,23,23,23,0,1514,,,0,,,,,29.69,,0,3,,,0,0,,,0,34,,,0,67,,,0,2.441,,,1298,0,65.7,,76,,0,0
A02,1/1/2024 4:29,12/31/2023 23:29,2,2,,,2,2,,,20,22,22,22,22,0,1361,,,0,,,,,29.69,,0,2.1,,,0,0,,,0,29,,,0,43,,,0,2.092,,,1113,0,65.7,,75,,0,0
A02,1/1/2024 4:44,12/31/2023 23:44,2,2,,,2,2,,,19,22,22,22,22,0,1250,,,0,,,,,29.69,,0,1.7,,,0,0,,,0,31,,,0,20,,,0,1.885,,,1002,0,65.5,,74,,0,0
A02,1/1/2024 4:59,12/31/2023 23:59,2,2,,,2,2,,,19,22,22,22,22,0,1162,,,0,,,,,29.69,,0,1.3,,,0,0,,,0,33,,,0,3,,,0,1.702,,,905,0,65.3,,73,,0,0
A02,1/1/2024 5:14,1/1/2024 0:14,2,2,,,2,2,,,21,24,24,24,24,0,1089,,,0,,,,,29.69,,0,1,,,0,0,,,0,26,,,0,0,,,0,1.512,,,804,0,64.9,,73,,0,0
A02,1/1/2024 5:29,1/1/2024 0:29,2,3,,,3,3,,,26,29,29,29,29,0,1011,,,0,,,,,29.69,,0,0.7,,,0,0,,,0,19,,,0,0,,,0,1.37,,,729,0,65.3,,71,,0,0
A02,1/1/2024 5:44,1/1/2024 0:44,2,3,,,3,3,,,26,29,29,29,29,0,963,,,0,,,,,29.69,,0,0.7,,,0,0,,,0,6,,,0,0,,,0,1.284,,,683,0,67.5,,66,,0,0
A02,1/1/2024 5:59,1/1/2024 0:59,3,3,,,3,3,,,26,30,30,30,30,0,913,,,0,,,,,29.68,,0,0.6,,,0,0,,,0,4,,,0,0,,,0,1.131,,,602,0,67.1,,65,,0,0
A02,1/1/2024 6:14,1/1/2024 1:14,2,3,,,3,3,,,25,28,28,28,28,0,876,,,0,,,,,29.68,,0,0.3,,,0,0,,,0,9,,,0,0,,,0,1.031,,,549,0,66,,66,,0,0
A02,1/1/2024 6:29,1/1/2024 1:29,3,3,,,3,3,,,27,31,31,31,31,0,851,,,0,,,,,29.68,,0,0.1,,,0,0,,,0,11,,,0,0,,,0,1.014,,,539,0,65.5,,67,,0,0
A02,1/1/2024 6:44,1/1/2024 1:44,3,3,,,3,3,,,27,31,31,31,31,0,806,,,0,,,,,29.68,,0,0.1,,,0,0,,,0,10,,,0,0,,,0,0.979,,,521,0,65.1,,67,,0,0
A02,1/1/2024 6:59,1/1/2024 1:59,3,3,,,3,3,,,27,31,31,31,31,0,741,,,0,,,,,29.68,,0,0,,,0,0,,,0,8,,,0,0,,,0,0.949,,,505,0,64.6,,67,,0,0
A02,1/1/2024 7:14,1/1/2024 2:14,3,3,,,3,3,,,29,32,32,32,32,0,688,,,0,,,,,29.68,,0,0,,,0,0,,,0,8,,,0,0,,,0,0.924,,,491,0,64,,68,,0,0
A02,1/1/2024 7:29,1/1/2024 2:29,3,3,,,3,3,,,30,34,34,34,34,0,641,,,0,,,,,29.68,,0,0,,,0,0,,,0,6,,,0,0,,,0,0.901,,,479,0,63.7,,68,,0,0
A02,1/1/2024 7:44,1/1/2024 2:44,3,3,,,3,3,,,30,34,34,34,34,0,609,,,0,,,,,29.68,,0,0,,,0,0,,,0,5,,,0,0,,,0,0.88,,,468,0,63.3,,68,,0,0
A02,1/1/2024 7:59,1/1/2024 2:59,3,3,,,3,3,,,30,34,35,35,35,0,575,,,0,,,,,29.68,,0,0,,,0,0,,,0,5,,,0,0,,,0,0.843,,,448,0,63,,68,,0,0
A02,1/1/2024 8:14,1/1/2024 3:14,3,3,,,3,3,,,29,32,32,32,32,0,561,,,0,,,,,29.67,,0,0,,,0,0,,,0,4,,,0,0,,,0,0.799,,,425,0,62.8,,68,,0,0
A02,1/1/2024 8:29,1/1/2024 3:29,3,3,,,3,3,,,28,31,31,32,32,0,542,,,0,,,,,29.67,,0,0,,,0,0,,,0,4,,,0,0,,,0,0.75,,,399,0,62.4,,68,,0,0
A02,1/1/2024 8:44,1/1/2024 3:44,2,3,,,3,3,,,27,30,30,30,30,0,529,,,0,,,,,29.67,,0,0,,,0,0,,,0,3,,,0,0,,,0,0.666,,,354,0,62.2,,67,,0,0
A02,1/1/2024 8:59,1/1/2024 3:59,3,3,,,3,3,,,30,34,34,34,34,0,515,,,0,,,,,29.67,,0,0,,,0,0,,,0,4,,,0,0,,,0,0.559,,,298,0,62.2,,67,,0,0
A02,1/1/2024 9:14,1/1/2024 4:14,3,3,,,3,3,,,31,35,36,36,36,0,519,,,0,,,,,29.66,,0,0,,,0,0,,,0,4,,,0,0,,,0,0.459,,,244,0,62.2,,66,,0,0
A02,1/1/2024 9:29,1/1/2024 4:29,3,3,,,3,3,,,28,32,32,32,32,0,508,,,0,,,,,29.66,,0,0,,,0,0,,,0,4,,,0,0,,,0,0.344,,,183,0,62.1,,66,,0,0
A02,1/1/2024 9:44,1/1/2024 4:44,2,2,,,2,2,,,24,27,27,27,27,0,505,,,0,,,,,29.66,,0,0,,,0,0,,,0,4,,,0,0,,,0,0.241,,,128,0,62.1,,66,,0,0
A02,1/1/2024 9:59,1/1/2024 4:59,2,2,,,2,2,,,22,25,25,25,25,0,503,,,0,,,,,29.65,,0,0,,,0,0,,,0,4,,,0,0,,,0,0.174,,,93,0,61.9,,65,,0,0
A02,1/1/2024 10:14,1/1/2024 5:14,2,2,,,2,2,,,21,24,24,24,24,0,502,,,0,,,,,29.65,,0,0,,,0,0,,,0,5,,,0,0,,,0,0.133,,,71,0,61.9,,65,,0,0
A02,1/1/2024 10:29,1/1/2024 5:29,2,2,,,2,2,,,20,23,23,23,23,0,497,,,0,,,,,29.66,,0,0,,,0,0,,,0,5,,,0,0,,,0,0.116,,,62,0,61.9,,65,,0,0
A02,1/1/2024 10:44,1/1/2024 5:44,2,2,,,2,2,,,18,21,21,21,21,0,492,,,0,,,,,29.66,,0,0,,,0,0,,,0,5,,,0,0,,,0,0.101,,,54,0,61.7,,65,,0,0
A02,1/1/2024 10:59,1/1/2024 5:59,2,2,,,2,2,,,16,19,19,19,19,0,489,,,0,,,,,29.66,,0,0,,,0,0,,,0,5,,,0,0,,,0,0.086,,,46,0,61.7,,65,,0,0
A02,1/1/2024 11:14,1/1/2024 6:14,2,2,,,2,2,,,20,23,23,23,23,0,488,,,0,,,,,29.66,,0,0,,,0,0,,,0,5,,,0,0,,,0,0.069,,,37,0,61.7,,65,,0,0
A02,1/1/2024 11:29,1/1/2024 6:29,2,2,,,2,2,,,25,28,28,28,28,0,487,,,0,,,,,29.65,,0,0,,,0,0,,,0,5,,,0,0,,,0,0.065,,,35,0,61.5,,65,,0,0
A02,1/1/2024 11:44,1/1/2024 6:44,3,3,,,3,3,,,27,30,31,31,31,0,486,,,0,,,,,29.65,,0,0,,,0,0,,,0,6,,,0,0,,,0,0.055,,,29,0,61.5,,64,,0,0
A02,1/1/2024 11:59,1/1/2024 6:59,2,3,,,3,3,,,26,30,30,30,30,0,484,,,0,,,,,29.65,,0,0,,,0,0,,,0,6,,,0,0,,,0,0.045,,,24,0,61.5,,64,,0,0
A02,1/1/2024 12:14,1/1/2024 7:14,3,3,,,3,3,,,29,33,33,33,33,0,481,,,0,,,,,29.64,,0,0,,,0,0,,,0,6,,,0,0,,,0,0.04,,,21,0,61.5,,64,,0,0
A02,1/1/2024 12:29,1/1/2024 7:29,2,3,,,3,3,,,26,29,29,29,29,0,478,,,0,,,,,29.64,,0,0,,,0,0,,,0,5,,,0,0,,,0,0.031,,,16,0,61.5,,63,,0,0
A02,1/1/2024 12:44,1/1/2024 7:44,2,2,,,2,2,,,20,23,23,23,23,0,473,,,0,,,,,29.64,,0,0,,,0,0,,,0,5,,,0,0,,,0,0.022,,,12,0,61.5,,63,,0,0
A02,1/1/2024 12:59,1/1/2024 7:59,2,2,,,2,2,,,19,22,22,22,22,0,497,,,0,,,,,29.64,,0,0,,,0,0,,,0,5,,,0,0,,,0,0.826,,,439,0,61.5,,64,,0,0
A02,1/1/2024 13:14,1/1/2024 8:14,1,1,,,1,1,,,15,17,17,17,17,0,510,,,0,,,,,29.65,,0,0,,,0,0,,,0,5,,,0,0,,,0,0.891,,,474,0,61.5,,64,,0,0
A02,1/1/2024 13:29,1/1/2024 8:29,1,1,,,1,1,,,14,16,16,16,16,0,513,,,0,,,,,29.65,,0,0,,,0,0,,,0,5,,,0,0,,,0,0.863,,,459,0,61.5,,64,,0,0
A02,1/1/2024 13:44,1/1/2024 8:44,1,1,,,1,1,,,13,15,15,15,15,0,500,,,0,,,,,29.65,,0,0,,,0,0,,,0,5,,,0,0,,,0,0.677,,,360,0,61.3,,64,,0,0
A02,1/1/2024 13:59,1/1/2024 8:59,1,1,,,1,1,,,13,15,15,15,15,0,493,,,0,,,,,29.66,,0,0,,,0,0,,,0,6,,,0,0,,,0,0.391,,,208,0,61.3,,63,,0,0
A02,1/1/2024 14:14,1/1/2024 9:14,1,1,,,1,1,,,13,14,14,14,14,0,489,,,0,,,,,29.66,,0,0,,,0,0,,,0,6,,,0,0,,,0,0.192,,,102,0,61.2,,63,,0,0
A02,1/1/2024 14:29,1/1/2024 9:29,1,1,,,1,1,,,14,16,16,16,16,0,485,,,0,,,,,29.66,,0,0,,,0,0,,,0,6,,,0,0,,,0,0.115,,,61,0,61.2,,63,,0,0
A02,1/1/2024 14:44,1/1/2024 9:44,1,1,,,1,1,,,15,17,17,17,17,0,482,,,0,,,,,29.67,,0,0,,,0,0,,,0,7,,,0,0,,,0,0.068,,,36,0,61.2,,63,,0,0
A02,1/1/2024 14:59,1/1/2024 9:59,1,1,,,1,1,,,14,16,16,16,16,0,480,,,0,,,,,29.67,,0,0,,,0,0,,,0,7,,,0,0,,,0,0.051,,,27,0,61,,63,,0,0
A02,1/1/2024 15:14,1/1/2024 10:14,1,1,,,1,1,,,14,16,16,16,16,0,515,,,0,,,,,29.67,,0,0,,,0,0,,,0,8,,,0,0,,,0,0.076,,,40,0,61.2,,63,,0,0
A02,1/1/2024 15:29,1/1/2024 10:29,1,1,,,1,1,,,14,16,16,16,16,0,500,,,0,,,,,29.68,,0,0,,,0,0,,,0,8,,,0,0,,,0,0.042,,,22,0,61.2,,63,,0,0
A02,1/1/2024 15:44,1/1/2024 10:44,1,2,,,2,2,,,15,18,18,18,18,0,489,,,0,,,,,29.68,,0,0,,,0,0,,,0,7,,,0,0,,,0,0.019,,,9,0,61.3,,63,,0,0
A02,1/1/2024 15:59,1/1/2024 10:59,2,2,,,2,2,,,18,20,20,20,20,0,487,,,0,,,,,29.69,,0,0,,,0,0,,,0,7,,,0,0,,,0,0.001,,,0,0,61.5,,62,,0,0
A02,1/1/2024 16:14,1/1/2024 11:14,2,2,,,2,2,,,21,24,24,24,24,0,483,,,0,,,,,29.69,,0,0,,,0,0,,,0,7,,,0,0,,,0,0,,,0,0,61.7,,62,,0,0
A02,1/1/2024 16:29,1/1/2024 11:29,2,2,,,2,2,,,20,22,22,22,22,0,475,,,0,,,,,29.7,,0,0,,,0,0,,,0,6,,,0,0,,,0,0,,,0,0,61.9,,61,,0,0
A02,1/1/2024 16:44,1/1/2024 11:44,2,2,,,2,2,,,19,22,22,22,22,0,475,,,0,,,,,29.71,,0,0,,,0,0,,,0,7,,,0,0,,,0,0,,,0,0,62.2,,61,,0,0
A02,1/1/2024 16:59,1/1/2024 11:59,2,2,,,2,2,,,17,19,19,19,19,0,475,,,0,,,,,29.71,,0,0,,,0,0,,,0,6,,,0,0,,,0,0,,,0,0,62.8,,60,,0,0
A02,1/1/2024 17:14,1/1/2024 12:14,1,1,,,1,1,,,14,16,16,16,16,0,469,,,0,,,,,29.72,,0,0,,,0,0,,,0,6,,,0,0,,,0,0,,,0,0,63.3,,59,,0,0
A02,1/1/2024 17:29,1/1/2024 12:29,1,1,,,1,1,,,13,15,15,15,15,0,460,,,0,,,,,29.72,,0,0,,,0,0,,,0,5,,,0,0,,,0,0,,,0,0,63.9,,59,,0,0
A02,1/1/2024 17:44,1/1/2024 12:44,1,1,,,1,1,,,11,12,12,12,12,0,453,,,0,,,,,29.73,,0,0,,,0,0,,,0,4,,,0,0,,,0,0,,,0,0,64.8,,58,,0,0
A02,1/1/2024 17:59,1/1/2024 12:59,1,1,,,1,1,,,9,10,10,10,10,0,494,,,0,,,,,29.73,,0,0,,,0,0,,,0,4,,,0,0,,,0,0.058,,,31,0,65.7,,59,,0,0
A02,1/1/2024 18:14,1/1/2024 13:14,5,6,,,7,7,,,53,62,63,63,63,0,760,,,0,,,,,29.74,,0,0,,,0,0,,,0,21,,,0,0,,,0,0.518,,,276,0,66,,61,,0,0
A02,1/1/2024 18:29,1/1/2024 13:29,6,7,,,8,8,,,61,72,73,74,74,0,818,,,0,,,,,29.74,,0,0,,,0,0,,,0,49,,,0,0,,,0,0.847,,,450,0,66.9,,62,,0,0
A02,1/1/2024 18:44,1/1/2024 13:44,19,21,,,21,21,,,202,230,230,230,230,0,1008,,,0,,,,,29.74,,0,0,,,0,0,,,0,56,,,0,0,,,0,0.872,,,464,0,67.8,,61,,0,0
A02,1/1/2024 18:59,1/1/2024 13:59,27,28,,,28,28,,,278,316,316,316,316,0,1240,,,0,,,,,29.73,,0,0.2,,,0,0,,,0,67,,,0,20,,,0,0.982,,,522,0,68.5,,61,,0,0
A02,1/1/2024 19:14,1/1/2024 14:14,44,46,,,46,46,,,450,511,512,512,512,0,1269,,,0,,,,,29.73,,0,0.7,,,0,0,,,0,49,,,0,36,,,0,0.97,,,516,0,69.1,,60,,0,0
A02,1/1/2024 19:29,1/1/2024 14:29,40,43,,,43,43,,,417,473,474,474,474,0,1226,,,0,,,,,29.72,,0,0.6,,,0,0,,,0,44,,,0,30,,,0,0.922,,,491,0,69.6,,59,,0,0
A02,1/1/2024 19:44,1/1/2024 14:44,30,31,,,31,31,,,305,346,347,347,347,0,1166,,,0,,,,,29.71,,0,0.5,,,0,0,,,0,36,,,0,19,,,0,0.867,,,461,0,70.3,,57,,0,0
A02,1/1/2024 19:59,1/1/2024 14:59,21,22,,,22,22,,,210,238,239,239,239,0,1126,,,0,,,,,29.71,,0,0.5,,,0,0,,,0,37,,,0,7,,,0,0.826,,,440,0,71.1,,56,,0,0
A02,1/1/2024 20:14,1/1/2024 15:14,15,16,,,16,16,,,156,177,177,177,177,0,1043,,,0,,,,,29.7,,0,0.4,,,0,0,,,0,31,,,0,0,,,0,0.722,,,384,0,71.6,,54,,0,0
A02,1/1/2024 20:29,1/1/2024 15:29,11,12,,,12,12,,,113,129,129,129,129,0,997,,,0,,,,,29.7,,0,0.3,,,0,0,,,0,25,,,0,0,,,0,0.545,,,290,0,72.3,,53,,0,0
A02,1/1/2024 20:44,1/1/2024 15:44,8,8,,,8,8,,,81,92,92,92,92,0,910,,,0,,,,,29.69,,0,0.3,,,0,0,,,0,18,,,0,0,,,0,0.303,,,161,0,73,,51,,0,0
A02,1/1/2024 20:59,1/1/2024 15:59,6,6,,,6,6,,,59,67,67,67,67,0,852,,,0,,,,,29.69,,0,0.3,,,0,0,,,0,14,,,0,0,,,0,0.171,,,91,0,73.4,,51,,0,0
A02,1/1/2024 21:14,1/1/2024 16:14,4,5,,,5,5,,,44,50,50,50,50,0,800,,,0,,,,,29.69,,0,0.2,,,0,0,,,0,12,,,0,0,,,0,0.115,,,61,0,73.6,,50,,0,0
A02,1/1/2024 21:29,1/1/2024 16:29,3,4,,,4,4,,,34,38,38,38,38,0,746,,,0,,,,,29.69,,0,0.2,,,0,0,,,0,10,,,0,0,,,0,0.069,,,37,0,73.9,,49,,0,0
A02,1/1/2024 21:44,1/1/2024 16:44,2,3,,,3,3,,,25,28,28,28,28,0,714,,,0,,,,,29.69,,0,0.1,,,0,0,,,0,8,,,0,0,,,0,0.038,,,20,0,74.3,,49,,0,0
A02,1/1/2024 21:59,1/1/2024 16:59,2,2,,,2,2,,,19,21,21,21,21,0,665,,,0,,,,,29.69,,0,0.1,,,0,0,,,0,6,,,0,0,,,0,0.019,,,10,0,74.7,,48,,0,0
A02,1/1/2024 22:14,1/1/2024 17:14,1,1,,,1,1,,,14,16,16,16,16,0,628,,,0,,,,,29.69,,0,0.1,,,0,0,,,0,4,,,0,0,,,0,0,,,0,0,75,,47,,0,0
A02,1/1/2024 22:29,1/1/2024 17:29,1,1,,,1,1,,,11,12,12,12,12,0,599,,,0,,,,,29.69,,0,0,,,0,0,,,0,5,,,0,0,,,0,0,,,0,0,75.2,,47,,0,0
A02,1/1/2024 22:44,1/1/2024 17:44,1,1,,,1,1,,,9,10,10,10,10,0,604,,,0,,,,,29.7,,0,0.1,,,0,0,,,0,3,,,0,0,,,0,0,,,0,0,77,,45,,0,0
A02,1/1/2024 22:59,1/1/2024 17:59,1,1,,,1,1,,,9,11,11,11,11,0,609,,,0,,,,,29.7,,0,0.4,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,79.5,,42,,0,0
A02,1/1/2024 23:14,1/1/2024 18:14,1,1,,,1,1,,,9,11,11,11,11,0,644,,,0,,,,,29.71,,0,0.5,,,0,0,,,0,0,,,0,0,,,0,0.009,,,5,0,80.8,,39,,0,0
A02,1/1/2024 23:29,1/1/2024 18:29,1,1,,,1,1,,,9,10,10,10,10,0,682,,,0,,,,,29.71,,0,0.4,,,0,0,,,0,0,,,0,0,,,0,0.087,,,46,0,80.2,,40,,0,0
A02,1/1/2024 23:44,1/1/2024 18:44,1,1,,,1,1,,,8,9,9,9,9,0,649,,,0,,,,,29.71,,0,0.4,,,0,0,,,0,4,,,0,0,,,0,0.275,,,146,0,79.3,,39,,0,0
A02,1/1/2024 23:59,1/1/2024 18:59,5,5,,,5,5,,,50,57,57,57,57,0,698,,,0,,,,,29.71,,0,0.1,,,0,0,,,0,1,,,0,0,,,0,0.183,,,97,0,77.9,,41,,0,0
A02,1/2/2024 0:14,1/1/2024 19:14,18,20,,,21,22,,,173,200,202,202,202,0,830,,,0,,,,,29.71,,0,0,,,0,0,,,0,18,,,0,0,,,0,0.818,,,435,0,76.6,,43,,0,0
A02,1/2/2024 0:29,1/1/2024 19:29,20,24,,,26,27,,,189,222,226,227,227,0,1025,,,0,,,,,29.71,,0,0.1,,,0,0,,,0,41,,,0,0,,,0,1.122,,,597,0,75.7,,46,,0,0
A02,1/2/2024 0:44,1/1/2024 19:44,15,16,,,17,18,,,145,166,168,168,168,0,1176,,,0,,,,,29.71,,0,0.5,,,0,0,,,0,63,,,0,11,,,0,1.386,,,737,0,75.2,,49,,0,0
A02,1/2/2024 0:59,1/1/2024 19:59,14,15,,,16,16,,,145,165,165,165,165,0,1282,,,0,,,,,29.71,,0,0.6,,,0,0,,,0,46,,,0,44,,,0,1.683,,,895,0,74.5,,51,,0,0
A02,1/2/2024 1:14,1/1/2024 20:14,11,12,,,12,13,,,114,130,130,130,130,0,1377,,,0,,,,,29.72,,0,0.5,,,0,0,,,0,43,,,0,55,,,0,1.728,,,919,0,73.9,,54,,0,0
A02,1/2/2024 1:29,1/1/2024 20:29,7,8,,,8,8,,,71,81,81,81,81,0,1358,,,0,,,,,29.72,,0,0.4,,,0,0,,,0,27,,,0,40,,,0,1.744,,,928,0,73.4,,56,,0,0
A02,1/2/2024 1:44,1/1/2024 20:44,6,6,,,6,6,,,57,65,66,66,66,0,1371,,,0,,,,,29.73,,0,0.3,,,0,0,,,0,32,,,0,13,,,0,1.869,,,994,0,72.9,,57,,0,0
A02,1/2/2024 1:59,1/1/2024 20:59,5,5,,,5,5,,,47,54,54,54,54,0,1385,,,0,,,,,29.73,,0,0.2,,,0,0,,,0,35,,,0,0,,,0,1.85,,,984,0,72.3,,58,,0,0
A02,1/2/2024 2:14,1/1/2024 21:14,3,4,,,4,4,,,35,40,40,40,40,0,1380,,,0,,,,,29.74,,0,0.2,,,0,0,,,0,27,,,0,0,,,0,1.766,,,939,0,71.8,,58,,0,0
A02,1/2/2024 2:29,1/1/2024 21:29,3,3,,,3,3,,,29,33,33,33,33,0,1372,,,0,,,,,29.74,,0,0.1,,,0,0,,,0,21,,,0,0,,,0,1.896,,,1009,0,71.2,,59,,0,0
A02,1/2/2024 2:44,1/1/2024 21:44,2,3,,,3,3,,,24,27,28,28,28,0,1377,,,0,,,,,29.75,,0,0.2,,,0,0,,,0,28,,,0,0,,,0,2.252,,,1198,0,70.7,,61,,0,0
A02,1/2/2024 2:59,1/1/2024 21:59,2,2,,,2,2,,,17,19,19,19,19,0,1261,,,0,,,,,29.75,,0,0.2,,,0,0,,,0,23,,,0,0,,,0,2.294,,,1220,0,70.2,,62,,0,0
A02,1/2/2024 3:14,1/1/2024 22:14,2,2,,,2,2,,,16,18,18,18,18,0,1179,,,0,,,,,29.75,,0,0.1,,,0,0,,,0,23,,,0,0,,,0,2.356,,,1253,0,69.1,,65,,0,0
A02,1/2/2024 3:29,1/1/2024 22:29,1,2,,,2,2,,,15,17,17,17,17,0,1194,,,0,,,,,29.75,,0,0.1,,,0,0,,,0,18,,,0,0,,,0,2.458,,,1308,0,68.4,,66,,0,0
A02,1/2/2024 3:44,1/1/2024 22:44,1,2,,,2,2,,,15,18,18,18,18,0,1173,,,0,,,,,29.75,,0,0.2,,,0,0,,,0,28,,,0,0,,,0,2.401,,,1277,0,67.8,,66,,0,0
A02,1/2/2024 3:59,1/1/2024 22:59,1,1,,,1,1,,,15,17,17,17,17,0,1178,,,0,,,,,29.74,,0,0.3,,,0,0,,,0,25,,,0,0,,,0,2.72,,,1447,0,67.5,,67,,0,0
A02,1/2/2024 4:14,1/1/2024 23:14,1,1,,,1,1,,,14,16,16,16,16,0,1187,,,0,,,,,29.74,,0,0.3,,,0,0,,,0,19,,,0,0,,,0,2.733,,,1454,0,67.1,,68,,0,0
A02,1/2/2024 4:29,1/1/2024 23:29,1,1,,,1,1,,,13,14,14,14,14,0,1139,,,0,,,,,29.74,,0,0.1,,,0,0,,,0,13,,,0,0,,,0,2.431,,,1293,0,66.7,,67,,0,0
A02,1/2/2024 4:44,1/1/2024 23:44,1,1,,,1,1,,,13,15,15,15,15,0,894,,,0,,,,,29.75,,0,0,,,0,0,,,0,9,,,0,0,,,0,1.684,,,896,0,66.4,,64,,0,0
